CustomerID,Full Name,DOB,Age,Address,CNIC,Occupation,Monthly Income,Business Nature,TransactionID,Transaction Date,Transaction Type,Amount,Counterparty,Channel,Country,RedFlagsDetected,RedFlagDetails,RiskScore,FinalRiskCategory
CUS001,Nimra Farooq,12/19/1958,67,Karachi,4.88058E+12,Student,282070,Home Business,TID001,6/13/2025,Cash Deposit,12926,Counterparty_26,Bank Branch,Pakistan,1 flags,,34,Medium
CUS002,Ali Farooq,3/19/1960,65,Faisalabad,6.71547E+12,Business Owner,208580,Not Applicable,TID002,10/9/2025,Cash Deposit,403165,Counterparty_13,POS Terminal,Pakistan,1 flags,,34,Medium
CUS003,Fahad Butt,1/23/1974,51,Peshawar,9.47256E+12,Business Owner,106378,Retail,TID003,8/23/2025,Cash Deposit,1208924,Counterparty_10,ATM,Pakistan,2 flags,,41,Medium
CUS004,Nimra Siddiqui,2/18/1996,29,Lahore,3.48738E+12,Shopkeeper,265724,Retail,TID004,2/10/2025,Atm Withdrawal,259602,Counterparty_33,Bank Branch,Pakistan,1 flags,,34,Medium
CUS005,Maham Chaudhry,1/31/1967,58,Islamabad,9.16893E+12,Driver,443255,Online Sales,TID005,10/2/2025,Cash Deposit,31179,Counterparty_16,Mobile App,Pakistan,1 flags,,34,Medium
CUS006,Usman Raza,4/3/1974,51,Peshawar,8.63039E+12,Banker,61436,Home Business,TID006,1/30/2025,Pos Payment,432245,Counterparty_10,Bank Branch,Pakistan,2 flags,,37,Medium
CUS007,Danish Chaudhry,7/23/2004,21,Islamabad,5.8215E+12,Student,77169,Online Sales,TID007,2/11/2025,Online Transfer,1236668,Counterparty_15,ATM,Pakistan,2 flags,,37,Medium
CUS008,Hina Khan,9/5/2000,25,Karachi,8.97208E+12,Electrician,48510,Service-Based,TID008,6/21/2025,Online Transfer,181366,Foreignbank_Canada,Online Banking,Canada,3 flags,"HighValueVsIncomeMismatch, ExcessiveCashDeposits, StructuringPattern, UnusualCounterparties, HighRiskCountry, RapidFundsMovement",44,High
CUS009,Bilal Farooq,9/3/1979,46,Peshawar,9.6696E+12,Engineer,227215,Home Business,TID009,2/24/2025,Atm Withdrawal,275888,Counterparty_4,Bank Branch,Pakistan,1 flags,,34,Medium
CUS010,Ayesha Raza,1/3/1981,44,Faisalabad,5.46777E+12,Business Owner,176504,Online Sales,TID010,11/21/2025,Cheque Deposit,444878,Counterparty_39,Bank Branch,Pakistan,1 flags,,30,Low
CUS011,Anaya Farooq,5/25/1956,69,Multan,1.73396E+12,Engineer,26448,Retail,TID011,5/21/2025,Atm Withdrawal,346613,Counterparty_5,POS Terminal,Pakistan,2 flags,,41,Medium
CUS012,Danish Butt,4/14/1992,33,Multan,7.47563E+12,Student,1115938,Service-Based,TID012,4/11/2025,Cheque Deposit,487244,Counterparty_10,Mobile App,Pakistan,1 flags,,30,Low
CUS013,Usman Khan,5/26/2001,24,Lahore,2.87304E+12,Engineer,999999,Online Sales,TID013,1/17/2025,Pos Payment,406690,Counterparty_18,ATM,Pakistan,1 flags,,30,Low
CUS014,Nimra Khan,8/18/1967,58,Karachi,7.74264E+12,Business Owner,79915,Online Sales,TID014,3/10/2025,Pos Payment,441465,Foreignbank_Uae,Online Banking,Uae,3 flags,"HighValueVsIncomeMismatch, ExcessiveCashDeposits, StructuringPattern, UnusualCounterparties, HighRiskCountry, RapidFundsMovement",44,High
CUS015,Usman Butt,3/13/1994,31,Hyderabad,6.23768E+12,Teacher,83029,Online Sales,TID015,11/22/2025,Atm Withdrawal,1016799,Counterparty_49,POS Terminal,Pakistan,2 flags,,41,Medium
CUS016,Nimra Qureshi,10/11/1982,43,Rawalpindi,3.43535E+12,Student,76969,Retail,TID016,7/23/2025,Cheque Deposit,119091,Counterparty_8,POS Terminal,Pakistan,1 flags,,30,Low
CUS017,Hina Qureshi,12/11/1974,51,Rawalpindi,3.79872E+12,Student,281368,Home Business,TID017,11/18/2025,Cash Deposit,449931,Counterparty_19,Mobile App,Pakistan,1 flags,,34,Medium
CUS018,Usman Butt,3/28/1964,61,Rawalpindi,Invalid CNIC,Business Owner,97974,Online Sales,TID018,3/31/2025,Pos Payment,224215,Counterparty_17,POS Terminal,Pakistan,2 flags,,33,Medium
CUS019,Junaid Khan,7/24/1992,33,Multan,7.04997E+12,Shopkeeper,260189,Retail,TID019,8/5/2025,Cheque Deposit,443291,Counterparty_38,POS Terminal,Pakistan,1 flags,,30,Low
CUS020,Ayesha Chaudhry,3/6/1975,50,Multan,9.1561E+12,Student,155129,Wholesale,TID020,11/22/2025,Atm Withdrawal,410336,Counterparty_31,Bank Branch,Pakistan,1 flags,,34,Medium
CUS021,Danish Chaudhry,6/3/1970,55,Islamabad,3.23193E+12,Student,108349,Online Sales,TID021,5/16/2025,Pos Payment,290664,Counterparty_37,Mobile App,Pakistan,1 flags,,30,Low
CUS022,Maham Sheikh,10/11/1975,50,Multan,2.86023E+12,Teacher,201920,Online Sales,TID022,12/21/2024,Cash Deposit,116900,Counterparty_9,Mobile App,Pakistan,1 flags,,34,Medium
CUS023,Hina Siddiqui,2/11/1997,28,Peshawar,4.6583E+12,Banker,249690,Not Applicable,TID023,4/13/2025,Atm Withdrawal,287775,Counterparty_50,POS Terminal,Pakistan,1 flags,,34,Medium
CUS024,Zara Siddiqui,3/5/1993,32,Faisalabad,9.7173E+12,Engineer,66336,Wholesale,TID024,5/17/2025,Cash Deposit,366852,Counterparty_14,ATM,Pakistan,2 flags,,41,Medium
CUS025,Hamza Sheikh,12/9/1967,58,Rawalpindi,4.18382E+12,Banker,190410,Wholesale,TID025,6/27/2025,Online Transfer,1249989,Counterparty_35,Bank Branch,Pakistan,2 flags,,37,Medium
CUS026,Sara Farooq,8/12/1977,48,Faisalabad,4.42254E+12,Freelancer,47244,Retail,TID026,6/26/2025,Cheque Deposit,333786,Counterparty_46,ATM,Pakistan,2 flags,,37,Medium
CUS027,Hina Khan,3/16/2005,20,Islamabad,6.61473E+12,Driver,825356,Retail,TID027,12/24/2024,Online Transfer,51204,Counterparty_12,Online Banking,Pakistan,1 flags,,30,Low
CUS028,Nimra Farooq,3/23/1992,33,Rawalpindi,4.46255E+12,Doctor,135283,Service-Based,TID028,7/27/2025,Cash Deposit,143809,Foreignbank_Canada,ATM,Canada,2 flags,,41,Medium
CUS029,Anaya Malik,4/7/1976,49,Hyderabad,8.959E+12,Business Owner,82531,Wholesale,TID029,2/21/2025,Cash Deposit,26882,Counterparty_50,ATM,Pakistan,1 flags,,34,Medium
CUS030,Bilal Sheikh,5/9/1967,58,Hyderabad,4.30273E+12,Doctor,42620,Wholesale,TID030,10/29/2025,Cheque Deposit,431578,Counterparty_34,Online Banking,Pakistan,2 flags,,37,Medium
CUS031,Hina Chaudhry,9/4/1999,26,Peshawar,5.09246E+12,Business Owner,24232,Retail,TID031,3/10/2025,Pos Payment,417679,Counterparty_1,Mobile App,Pakistan,2 flags,,37,Medium
CUS032,Bilal Sheikh,11/4/1985,40,Lahore,Invalid CNIC,Student,294213,Home Business,TID032,3/10/2025,Cash Deposit,236364,Counterparty_1,Mobile App,Pakistan,2 flags,,37,Medium
CUS033,Sara Raza,9/28/1985,40,Rawalpindi,2.21853E+12,Banker,158719,Service-Based,TID033,11/5/2025,Cash Deposit,233284,Counterparty_44,POS Terminal,Pakistan,1 flags,,34,Medium
CUS034,Laiba Khan,9/27/1995,30,Hyderabad,8.44671E+12,Business Owner,284913,Retail,TID034,1/6/2025,Pos Payment,374959,Counterparty_9,Mobile App,Pakistan,1 flags,,30,Low
CUS035,Bilal Butt,7/20/2002,23,Karachi,9.96271E+12,Student,59516,Online Sales,TID035,11/18/2025,Cheque Deposit,149889,Counterparty_26,Online Banking,Pakistan,1 flags,,30,Low
CUS036,Laiba Khan,5/19/2000,25,Karachi,9.57749E+12,Engineer,199088,Online Sales,TID036,3/8/2025,Online Transfer,265360,Counterparty_50,Bank Branch,Pakistan,1 flags,,30,Low
CUS037,Fahad Butt,8/4/1964,61,Hyderabad,9.26119E+12,Driver,211910,Service-Based,TID037,9/29/2025,Online Transfer,429166,Foreignbank_Saudi Arabia,POS Terminal,Saudi Arabia,2 flags,,37,Medium
CUS038,Nimra Butt,7/17/1967,58,Faisalabad,6.9989E+12,Driver,273247,Online Sales,TID038,3/18/2025,Cheque Deposit,48499,Counterparty_48,Bank Branch,Pakistan,1 flags,,30,Low
CUS039,Hamza Malik,9/22/1998,27,Hyderabad,9.48284E+12,Business Owner,297914,Service-Based,TID039,5/31/2025,Atm Withdrawal,14748,Counterparty_17,Mobile App,Pakistan,1 flags,,34,Medium
CUS040,Anaya Butt,4/24/1995,30,Peshawar,4.99686E+12,Student,231049,Wholesale,TID040,2/5/2025,Atm Withdrawal,1193465,Counterparty_2,Online Banking,Pakistan,2 flags,,41,Medium
CUS041,Ali Raza,8/6/1973,52,Hyderabad,4.82607E+12,Engineer,249561,Not Applicable,TID041,10/18/2025,Atm Withdrawal,99588,Counterparty_13,Bank Branch,Pakistan,1 flags,,34,Medium
CUS042,Zara Sheikh,5/17/1964,61,Karachi,7.76086E+12,Freelancer,35145,Online Sales,TID042,1/12/2025,Atm Withdrawal,460847,Counterparty_49,POS Terminal,Pakistan,2 flags,,41,Medium
CUS043,Maham Sheikh,10/16/1984,41,Islamabad,4.29174E+12,Shopkeeper,144451,Wholesale,TID043,5/6/2025,Cash Deposit,164510,Counterparty_39,Bank Branch,Pakistan,1 flags,,34,Medium
CUS044,Anaya Qureshi,3/18/1979,46,Multan,1.45805E+12,Driver,999999,Service-Based,TID044,5/27/2025,Online Transfer,307065,Counterparty_25,ATM,Pakistan,1 flags,,30,Low
CUS045,Zara Malik,3/31/1955,70,Peshawar,7.22101E+12,Driver,604945,Online Sales,TID045,3/12/2025,Cheque Deposit,391213,Counterparty_30,ATM,Pakistan,1 flags,,30,Low
CUS046,Sara Siddiqui,3/2/1960,65,Islamabad,7.502E+12,Engineer,183190,Not Applicable,TID046,1/25/2025,Cash Deposit,16975,Counterparty_23,POS Terminal,Pakistan,1 flags,,34,Medium
CUS047,Zara Siddiqui,9/12/1998,27,Peshawar,7.47552E+12,Banker,157012,Service-Based,TID047,6/16/2025,Atm Withdrawal,330684,Counterparty_32,Bank Branch,Pakistan,1 flags,,34,Medium
CUS048,Laiba Malik,5/5/1959,66,Multan,5.22619E+12,Freelancer,273780,Not Applicable,TID048,11/8/2025,Pos Payment,120385,Counterparty_4,Mobile App,Pakistan,1 flags,,30,Low
