The data in this report is dummy data created for practice purposes only and does not represent any real customer or transaction.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Suspicious Transaction Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,  ,,,,,,
(Check appropriate box),,,,,,,,,,,,,,,
1 ), Date,,07/11/2025,,( dd/mm/yyyy ),,,,,,,,,,
,,,,,,,,,,,,,,,
2 ) ,P,Initial Report,,,Corrected Report,,,,Supplemental Report,,,,,,
,,,,,,,,,,,,,,,
Part I  ,Reporting Financial Institution System,,,,,,,,,,,,,,
3 ),Name of Institution |,,,Altas Bank,,,,,,,,,,,
4 ),NIFT Code |,,,TWB00123,,,,,,,,,,,
5 ),Address of Financial Institution |,,,"123 Finance Street, Karachi, Pakistan",,,,,,,,,,,
,,,,,,,,,,,,,,,
6 ),"Name of Branch where transaction      Saddar Branch
activity occurred  |",,,,,,,,,,,,,,
7 ),Branch Code |,,,SD123,,,,,,,,,,,
8 ),Address of Branch  |,,,"45 Saddar Road, Karachi, Pakistan",,,,,,,,,,,
,,,,,,,,,,,,,,,
9 ),Primary Regulator  |,,,,,,,,,,,,,,
,,P,SBP,,SECP,,,Other ( Please Specify ),,,,,,,
,Reporting Officer,,,,,,,,,,,,,,
10 ) ,Name  |,,Ali khan,,,,,,,,,,,,
11 ) ,Designation  |,,AML Compliance Officer,,,,,,,,,,,,
12 )  ,Phone Number(s)  ( Include area code ),,,,,,13 ),Fax Number(s) ( Include area code ),,,,,,,
,,,,021-12345678,,,,021-87654321,,,,,,,
14 ),Email Address,,,,,,15 ),Cell Number (s),,,,,,,
,,,,alikhan@altasbank.com,,,,+92-300-1234567,,,,,,,
,,,,,,,,,,,,,,,
,Contact for Assistance  ( if different from Reporting Officer ),,,,,,,,,,,,,,
16 ) ,Name   |,,Sara Ahmed,,,,,,,,,,,,
17 ) ,Designation  |,,Assistant Compliance Officer,,,,,,,,,,,,
18 )  ,Phone Number(s)  ( Include area code ),,,,,,19 ),Fax Number(s) ( Include area code ),,,,,,,
,,,021-11223344,,,,,021-44332211,,,,,,,
20 ),Email Address,,,,,,21 ),Cell Number (s),,,,,,,
,,,sara.ahmed@altasbank.com,,,,,92-300-7654321,,,,,,,
Part II   ,Suspect Information,,,,,,,,,,,,,,
22 ),Name  | ,,Ahmed Javed,,,,,,,,,,,,
23 ),Father / Husband's Name  |,,,Javed Iqbal,,,,,,,,,,,
24 ),Address ( permanent )  |,,,Not available,,,,,,,,,,,
,,,,,,,,,,,,,,,
25),Address ( present )  |,,,Not available,,,,,,,,,,,
,,,,,,,,,,,,,,,
26 ),Other Known Address  |,,,N/A,,,,,,,,,,,
,,,,,,,,,,,,,,,
27 ),Phone Number(s) Residence (Include area code)|,,,,N/A,,,,,,,,,,
28 ),Phone Number(s) Office ( Include area code )  |,,,,N/A,,,,,,,,,,
29 ),Fax Number (s)  |,,,N/A,,,,,,,,,,,
30 ),Cell Number (s)  |,,,N/A,,,,,,,,,,,
31 ),CNIC Number  |,,,N/A,,,,,,,,,,,
32 ),NIC Number ( In case CNIC Number is not available )  |,,,,,,,,,,,,,,
33 ),Any other Identification Number  |,,,,,,,,,,,,,,
34 ),National Tax Number (NTN) if available  |,,,,,,,,,,,,,,
35 ),Date of Birth  |,,,,,,,,,,,( dd/mm/yyyy ),,,
36 ),Nationality  |,,,,,,,,,,,,,,
37 ),Occupation / Type of Business  |,,,,,,,,,,,,,,
38 ),Relationship with Financial Institution  |,,,,,,,,,,,,,,
,P,A/C Holder,,,Employee,,,Agent,,,Walk In Customer,,,,
,Other Please Specify,,,,,,,,,,,,,,
39 ),Business relation with Suspect ( if any )  |,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
40 ),Is relationship still maintained with person ?,,,,,,,P,Yes,,No,,,,
41 ),In case No. Mention date of termination of relationship  |,,,,,,,,,,,,,,( dd/mm/yyyy)   
42 ),Capacity in which the person is performing the transactions/acts  |,,,,,,,,,,,,,,
,P,Individual,,,Company,,,Agent,,,Broker,,,,
,Other Please Specify  |,,,,,,,,,,,,,,
,P,Joint Account holder,,,,,,,,,,,,,
43 ),Identities of other persons known to be involved in reported activity  |,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Part III,Suspicious Transaction Information,,,,,,,,,,,,,,
44 ),Date of Suspicious Transaction  |,,,01/09/2024,,,,,,( dd/mm/yyyy),,,,,
45 ),Amount involved ( Please Specify Currency )  |,,,,"695,951 PKR ",,,,,,,,,,
46 ),Suspicious Transactions :,,,,,,,,,,,,,,
,Date,,,Amount,,,,Description of Transaction,,,,,,,
,01/09/2024,,,"695,951 PKR ",,,,Extremely large outbound transfer (~696k PKR) to USA,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
